,PA_CODUNI,count,sum,
436,2332906,1,24.0,
437,2332981,11,289.09,
438,2333201,236,2360.0,
439,2335026,4,103.32,
440,2336545,7,408.0,
441,2337835,3,72.0,
442,2337940,5,120.0,
443,2338424,1,39.94,
444,2339080,3,6.93,
445,2339099,1,24.0,
446,2340534,2,69.3,
447,2357623,1,268.75,
448,2360411,11,176.4,
449,2361744,3,46.63,
450,2361949,10,60.510000000000005,
451,2364840,1,101.1,
452,2373971,2,135.39,
453,2376334,1,24.0,
454,2377330,1,32.4,
455,2377578,1,0.0,
456,2379767,1,12.47,
457,2384299,1622,27248.94999999996,
458,2385015,1,383.07,
459,2389061,1,11.0,
460,2390671,2,0.0,
461,2393581,2,791.5899999999999,
462,2394324,5,0.0,
463,2397552,2,48.0,
464,2399180,7,168.0,
465,2403331,128,715.0,
466,2407205,2,83.0,
467,2408295,2,48.0,
468,2409119,1,10.0,
469,2409194,2,791.5899999999999,
470,2410834,45,121.0,
471,2411393,3,23.47,
472,2411415,7,87.29,
473,2418398,8,240.0,
474,2437198,1,12.47,
475,2438917,18,365.94,
476,2439093,1,24.0,
477,2439360,2,27.0,
478,2446030,11,0.0,
479,2451565,1,0.0,
480,2462214,1,396.0,
481,2464594,1,268.75,
482,2468360,2,108.9,
483,2470942,1,24.0,
484,2478153,2,20.0,
485,2482444,5,50.0,
486,2482452,4,40.0,
487,2482495,9,90.0,
488,2488892,2,20.0,
489,2489074,1,72.0,
490,2492342,4,23.16,
491,2493853,107,1070.0,
492,2494299,1,32.4,
493,2495279,3,66.81,
494,2496542,2,0.0,
495,2496569,2,0.0,
496,2497077,1,24.0,
497,2497751,11,430.14,
498,2505401,8,41.779999999999994,
499,2506661,16,413.2799999999998,
500,2510987,43,0.0,
501,2511290,5,0.0,
502,2511487,3,0.0,
503,2511606,1,0.0,
504,2511738,406,4464.98,
505,2511843,1,0.0,
506,2511851,1,0.0,
507,2512165,1,0.0,
508,2512548,16,160.0,
509,2512599,1,0.0,
510,2512688,166,720.0,
511,2512734,4,40.0,
512,2512882,10,200.66,
513,2513323,1,0.0,
514,2513838,2,35.23,
515,2515261,1,10.0,
516,2517906,1,24.0,
517,2522411,11,337.92,
518,2525569,1,10.0,
519,2525712,1,158.4,
520,2528584,4,40.0,
521,2528657,1,10.0,
522,2528673,1,10.0,
523,2528754,23,230.0,
524,2528916,20,200.0,
525,2528940,2,20.0,
526,2528959,1,10.0,
527,2528991,2,20.0,
528,2529238,4,40.0,
529,2531348,1,11.0,
530,2534460,3,32.589999999999996,
531,2534789,5,129.6,
532,2536366,19,504.0,
533,2537192,4,22.0,
534,2537788,6,12.47,
535,2537958,21,224.46,
536,2552760,112,420.0,
537,2552841,27,270.0,
538,2552868,6,60.0,
539,2557819,11,312.0,
540,2558254,14,158.41,
541,2559404,20,600.0,
542,2560771,3,253.01999999999998,
543,2561123,2,20.0,
544,2561158,3,30.0,
545,2561492,5,48.0,
546,2573628,1,0.0,
547,2592746,48,471.0700000000001,
548,2593262,1,97.44,
549,2593904,10,110.0,
550,2601680,1,11.0,
551,2639440,1,0.0,
552,2639467,9,144.47,
553,2639548,14,309.47,
554,2639556,15,298.47,
555,2639637,17,1104.0,
556,2639831,2,75.9,
557,2640244,1,11.0,
558,2653818,9,232.4699999999999,
559,2654504,2,0.0,
560,2655411,21,0.0,
561,2659689,1,0.0,
562,2660822,1,0.0,
563,2663244,2,0.0,
564,2663821,1,0.0,
565,2664747,1,24.0,
566,2673916,7,1441.19,
567,2675560,1,32.4,
568,2676125,4,96.0,
569,2678179,9,257.84000000000003,
570,2682214,3,113.85000000000001,
571,2684012,2,0.0,
572,2688689,1,133.03,
573,2691485,8,87.96000000000001,
574,2692570,5,0.0,
575,2695111,5,33.0,
576,2695251,35,243.15,
577,2695324,5,42.480000000000004,
578,2698439,77,1158.3000000000002,
579,2698471,1,23.16,
580,2701308,6,0.0,
581,2701391,22,0.0,
582,2702193,1,24.2,
583,2702398,12,120.0,
584,2704587,2,56.599999999999994,
585,2704773,4,0.0,
586,2704838,2,0.0,
587,2705125,2,0.0,
588,2705133,1,0.0,
589,2705680,4,0.0,
590,2707977,1,24.2,
591,2708000,1,6.3,
592,2708213,156,1620.0,
593,2708426,169,0.0,
594,2711168,2,0.0,
595,2714132,12,0.0,
596,2716798,2,7.26,
597,2719339,2,20.0,
598,2719630,1,0.0,
599,2719673,2,0.0,
600,2723158,3,72.0,
601,2736543,1,24.0,
602,2738864,68,353.47,
603,2740338,3,72.0,
604,2742462,1,0.0,
605,2748223,7,148.25,
606,2749068,4,0.0,
607,2749076,27,0.0,
608,2749084,10,0.0,
609,2749319,2,46.32,
610,2751070,1,0.0,
611,2751852,2,51.66,
612,2751860,1,25.83,
613,2751895,3,77.49,
614,2752220,1,0.0,
615,2753138,125,3528.0,
616,2754878,30,300.0,
617,2755009,2,0.0,
618,2755130,3,95.36,
619,2755491,2,537.5,
620,2755742,11,264.0,
621,2757222,13,437.84999999999997,
622,2757761,6,144.0,
623,2757915,1,10.0,
624,2759306,1,48.0,
625,2759616,3,672.0,
626,2760452,7,240.0,
627,2761203,11,63.53,
628,2764059,1,0.0,
629,2766167,2,64.8,
630,2772280,2,24.0,
631,2772310,6,69.63,
632,2773589,7,0.0,
633,2773597,6,0.0,
634,2777347,190,979.0,
635,2778831,1,0.63,
636,2784602,51,1680.0,
637,2784653,4,0.0,
638,2785382,1,268.75,
639,2785722,16,176.0,
640,2786117,2,277.26,
641,2786451,32,768.0,
642,2786737,2,0.0,
643,2787199,5,0.0,
644,2787245,1,0.0,
645,2787253,1,0.0,
646,2787288,3,0.0,
647,2787318,24,0.0,
648,2787377,4,0.0,
649,2787423,7,0.0,
650,2787458,3,0.0,
651,2787504,2,0.0,
652,2787563,5,0.0,
653,2787644,5,0.0,
654,2788314,1,0.0,
655,2788322,3,0.0,
656,2788365,1,0.0,
657,2788535,1,0.0,
658,2788616,1,0.0,
659,2788691,2,0.0,
660,2788942,3,0.0,
661,2788993,4,0.0,
662,2789027,2,0.0,
663,2789205,1,23.16,
664,2789256,1,0.0,
665,2789582,1,24.0,
666,2790556,2,13.48,
667,2790602,12,361.09,
668,2790734,5,168.0,
669,2791692,103,788.96,
670,2791706,1,32.4,
671,2792176,2,121.64,
672,2793008,1,18.55,
673,2798298,5,120.0,
674,2804034,2,277.26,
675,2807491,2,0.0,
676,2808412,19,18257.25,
677,2808579,23,253.0,
678,2813793,4,96.0,
679,2814455,541,9260.54999999996,
680,2815125,2,48.0,
681,2818728,1,0.0,
682,3002543,2,0.0,
683,3004791,1,101.1,
684,3008827,2,48.0,
685,3012212,2,62.150000000000006,
686,3013499,6,267.3,
687,3019993,1,24.0,
688,3023052,1,24.0,
689,3032191,1,0.0,
690,3038467,14,140.0,
691,3051919,1,0.0,
692,3057003,2,0.0,
693,3060322,1,2.81,
694,3062503,1,24.0,
695,3075516,1,12.47,
696,3089657,42,0.0,
697,3092402,18,0.0,
698,3099784,1,0.0,
699,3101150,2,0.0,
700,3111075,2,0.0,
701,3116085,2,791.5899999999999,
702,3139050,1,37.95,
703,3157245,4,192.0,
704,3200116,2,48.0,
705,3212270,1,10.0,
706,3239284,5,0.0,
707,3240061,2,0.0,
708,3277062,1,24.0,
709,3296350,3,21.78,
710,3314766,12,289.16,
711,3340821,138,1520.94,
712,3345599,1,0.0,
713,3348431,1,138.63,
714,3380777,12,140.82,
715,3443523,2,0.0,
716,3480879,24,264.0,
717,3492958,2,0.0,
718,3499359,1,10.0,
719,3500179,55,550.0,
720,3530124,2,791.5899999999999,
721,3534979,3,72.0,
722,3549828,1,24.2,
723,3553728,4,195.0,
724,3582906,1,0.0,
725,3614948,4,0.0,
726,3626245,5,173.10000000000002,
727,3741141,2,0.0,
728,3746356,1,0.0,
729,3771016,4,96.0,
730,3771962,3,24.099999999999998,
731,3796868,1,0.0,
732,3827836,18,345.41,
733,3850757,2,0.0,
734,3912698,1,0.0,
735,3950220,2,0.0,
736,4001303,1,24.0,
737,4013441,30,300.0,
738,4020154,1,11.0,
739,4020278,1,10.0,
740,4034325,2,20.0,
741,4044916,26,1440.0,
742,4046307,9,80.0,
743,4048571,5,120.0,
744,4049993,2,0.0,
745,4050088,8,0.0,
746,4050118,2,0.0,
747,4050142,1,0.0,
748,4050185,2,0.0,
749,4050223,2,0.0,
750,4050312,3,77.49,
751,4061314,1,24.0,
752,4067223,2,0.0,
753,5027195,3,46.239999999999995,
754,5077265,2,0.0,
755,5120349,77,667.49,
756,5130794,79,790.0,
757,5142725,1,0.0,
758,5154197,1,0.0,
759,5195756,1,39.94,
760,5205905,2,48.0,
761,5215269,24,445.20000000000016,
762,5230241,34,220.85,
763,5242282,2,62.150000000000006,
764,5301831,3,0.0,
765,5309808,2,0.0,
766,5323436,11,176.0,
767,5366828,1,37.95,
768,5413451,24,672.0,
769,5504694,1,0.0,
770,5506115,2,0.0,
771,5522935,2,72.0,
772,5585031,22,0.0,
773,5585147,40,0.0,
774,5585422,1,24.0,
775,5586372,10,120.0,
776,5587956,274,2778.3999999999996,
777,5595746,1,0.0,
778,5598435,23,100.38000000000001,
779,5617286,1,0.0,
780,5618401,5,127.32,
781,5620341,2,0.0,
782,5621534,17,170.0,
783,5621801,3,24.0,
784,5625416,3,0.0,
785,5662583,7,291.59999999999997,
786,5664675,1,24.0,
787,5682606,1,0.0,
788,5695813,3,0.0,
789,5699525,3,0.0,
790,5711207,10,0.0,
791,5717256,5,26.94,
792,5718368,1,138.63,
793,5743583,3,0.0,
794,5815991,2,0.0,
795,5844843,1,0.0,
796,5859670,1,0.0,
797,5877407,1,0.0,
798,5883229,301,3312.47,
799,5908418,7,264.0,
800,5989442,100,1112.47,
801,5995280,373,1826.2600000000007,
802,5997763,1,0.0,
803,6007503,2,0.0,
804,6020895,3,0.0,
805,6023975,106,0.0,
806,6023983,7,0.0,
807,6028233,185,0.0,
808,6030807,9,66.0,
809,6032419,2,0.0,
810,6032427,2,0.0,
811,6048692,50,287.09000000000003,
812,6056148,2,47.16,
813,6123740,14,1484.87,
814,6148336,3,77.49,
815,6164366,4,97.98,
816,6211402,2,20.0,
817,6212581,22,544.4699999999999,
818,6224105,2,0.0,
819,6239900,1,24.0,
820,6246028,3,57.900000000000006,
821,6251013,1,0.0,
822,6287913,1,10.0,
823,6289304,3,75.66,
824,6294049,13,562.92,
825,6300790,1,268.75,
826,6305202,2,0.0,
827,6305628,3,0.0,
828,6334881,1,0.0,
829,6359620,18,532.9299999999998,
830,6365213,12,309.95999999999987,
831,6377777,1,34.65,
832,6380417,4,0.0,
833,6387713,2,37.0,
834,6423086,14,358.9499999999999,
835,6427286,9,216.0,
836,6432530,11,278.76,
837,6439993,394,4341.35,
838,6461018,4,0.0,
839,6463487,47,521.4100000000001,
840,6476058,4,95.16,
841,6479146,36,884.34,
842,6479200,5,99.37,
843,6488714,28,309.47,
844,6509142,1,0.0,
845,6523536,4,168.0,
846,6546463,38,954.5400000000005,
847,6559379,1,9.0,
848,6559727,1,24.2,
849,6568459,31,803.6700000000003,
850,6568734,185,965.8200000000002,
851,6568971,31,1386.9600000000003,
852,6572367,1,25.83,
853,6575900,131,1349.67,
854,6580254,2,0.0,
855,6601804,4,44.1,
856,6603432,5,144.0,
857,6604862,4,120.0,
858,6607330,7,180.80999999999995,
859,6613136,9,99.0,
860,6616445,1,86.76,
861,6618863,1,24.2,
862,6621333,5,55.0,
863,6631169,84,925.1700000000002,
864,6655416,10,297.3,
865,6657516,29,1291.79,
866,6669727,29,812.5200000000001,
867,6682545,4,40.0,
868,6697208,2,48.0,
869,6699529,4,129.6,
870,6699863,4,129.6,
871,6700667,2,0.0,
872,6708714,61,407.3700000000001,
873,6716849,284,1065.490000000001,
874,6716938,54,345.76999999999987,
875,6737498,9,0.0,
876,6742831,21,182.63,
877,6752233,4,363.81,
878,6762794,12,494.0,
879,6763944,2,74.25,
880,6780598,4,56.4,
881,6792782,2,55.56,
882,6804845,1,0.0,
883,6826393,332,1209.2900000000002,
884,6847587,160,894.7000000000002,
885,6851304,62,341.0,
886,6855334,12,133.47,
887,6867294,12,66.0,
888,6873960,323,12.43,
889,6876617,1,18.55,
890,6886345,101,957.0,
891,6895263,31,799.3100000000002,
892,6914624,2,22.0,
893,6916074,1285,7410.349999999999,
894,6942253,13,1485.0000000000002,
895,6950175,17,0.0,
896,6956718,1,24.0,
897,6959636,192,4959.35999999999,
898,6960758,1,0.0,
899,6992560,942,9444.380000000001,
900,6998178,1,25.83,
901,7021437,12,33.0,
902,7021801,12,108.89999999999999,
903,7033702,7,180.80999999999995,
904,7035861,150,1651.47,
905,7038216,61,417.3,
906,7041624,4,23.259999999999998,
907,7054254,2,64.8,
908,7058616,24,576.0,
909,7065817,4,0.0,
910,7066376,1,48.0,
911,7066953,1,0.0,
912,7078730,20,117.05,
913,7101856,167,1215.2499999999998,
914,7103271,1,0.0,
915,7107366,10,94.11,
916,7110162,59,308.25999999999993,
917,7111924,16,133.03,
918,7112831,152,1194.6900000000005,
919,7115148,2,48.0,
920,7115652,185,880.0,
921,7116756,56,367.62000000000006,
922,7152574,10,88.0,
923,7155832,8,33.0,
924,7160305,1,10.0,
925,7165765,1,6.74,
926,7176147,1,0.0,
927,7187963,4,1583.1799999999998,
928,7188676,1,48.0,
929,7204639,3,0.0,
930,7209517,7,178.97999999999996,
931,7257406,2,55.22,
932,7260784,33,374.0,
933,7278888,23,242.0,
934,7284284,7,70.0,
935,7286082,72,12.47,
936,7288921,1,10.0,
937,7298293,4,159.76,
938,7299532,137,1442.6699999999996,
939,7309708,1,0.0,
940,7316496,6,180.0,
941,7336551,46,460.0,
942,7352522,1,0.0,
943,7368895,3,97.19999999999999,
944,7371586,4,25.2,
945,7372116,44,441.47,
946,7373465,4,95.25999999999999,
947,7376421,14,0.0,
948,7396805,120,66.03,
949,7407505,5,56.47,
950,7407629,1,0.0,
951,7413750,1,0.0,
952,7417659,60,320.59,
953,7418078,4,0.0,
954,7418094,15,0.0,
955,7418108,2,1.0,
956,7432895,1,0.0,
957,7458606,1,32.4,
958,7465157,51,372.5800000000001,
959,7468466,1,0.0,
960,7472552,1,39.94,
961,7473702,1,24.2,
962,7476620,6,0.0,
963,7492987,6,42.449999999999996,
964,7496117,27,644.6200000000001,
965,7498233,83,730.6700000000006,
966,7520433,6,0.0,
967,7523246,87,2.0,
968,7523483,3,0.0,
969,7526768,1,0.0,
970,7549938,1,0.0,
971,7559461,5,120.0,
972,7560435,16,346.6999999999999,
973,7573057,2,19.0,
974,7573162,1,24.0,
975,7576617,1,48.4,
976,7584717,3,0.0,
977,7592477,9,67.47,
978,7614578,1,10.0,
979,7621442,2,97.44,
980,7636881,1,0.0,
981,7636970,197,2167.0,
982,7641117,43,335.88,
983,7652038,29,183.35,
984,7657358,8,52.81,
985,7666772,3,33.0,
986,7682581,6,55.0,
987,7686625,1,0.0,
988,7690649,8,0.0,
989,7697422,10,55.0,
990,7716532,1,37.95,
991,7740905,2,0.0,
992,7746180,363,4006.229999999999,
993,7760000,3,0.0,
994,7770723,8,44.0,
995,7778651,7,150.97,
996,7792522,647,3516.35,
997,7813767,2,34.16,
998,7818858,11,121.0,
999,7877447,55,2904.0,
1000,7879679,1,0.63,
1001,7892985,33,185.0,
1002,7904894,488,5371.699999999999,
1003,7905025,8,0.0,
1004,7907281,1,10.0,
1005,7911238,470,4604.639999999999,
1006,7924798,91,981.94,
1007,7934904,2,0.0,
1008,7936850,60,320.47,
1009,7949553,123,1369.88,
1010,7953917,49,277.23,
1011,7996802,24,132.0,
1012,7998422,5,55.0,
1013,8007527,142,1557.5100000000002,
1014,8013543,1,23.16,
1015,9000879,3,33.0,
1016,9005668,18,0.0,
1017,9010750,1,0.0,
1018,9019308,2,11.0,
1019,9020284,28,309.47,
1020,9024980,62,682.0,
1021,9030670,21,232.47,
1022,9039899,5,0.0,
1023,9045023,1,24.2,
1024,9056971,153,1683.0,
1025,9057706,68,0.0,
1026,9070567,123,1331.0,
1027,9079939,49,0.0,
1028,9080163,150,0.0,
1029,9120068,86,947.47,
1030,9128093,3,1.0,
1031,9129553,1,10.0,
1032,9160876,57,450.0000000000002,
1033,9211861,860,9482.0,
1034,9214097,9,188.47,
